ProductName,Brand,Price,DiscountPrice,Image_Url,Quantity,Category,SubCategory
"Chicken Breast - Boneless, Antibiotic Residue-Free, 4 To 6 pcs",Fresho,605.0,429.0,https://www.bigbasket.com/media/uploads/p/l/10001001_7-fresho-chicken-breast-boneless-antibiotic-residue-free.jpg,1,"Eggs, Meat & Fish",Fresh Chicken
"Chicken Breast - Boneless, Antibiotic Residue-Free, 2- 4 pcs",Fresho,360.0,211.0,https://www.bigbasket.com/media/uploads/p/l/10000900_10-fresho-chicken-breast-boneless-antibiotic-residue-free-4-5-pcs.jpg,500,"Eggs, Meat & Fish",Fresh Chicken
"Chicken Breast - Boneless, Antibiotic Residue-Free, 1 To 2 pcs",Fresho,207.0,149.0,https://www.bigbasket.com/media/uploads/p/l/10000901_10-fresho-chicken-breast-boneless-antibiotic-residue-free.jpg,250,"Eggs, Meat & Fish",Fresh Chicken
Garlic (Loose),Fresho,141.56,82.0,https://www.bigbasket.com/media/uploads/p/l/10000330_14-fresho-garlic.jpg,1,Fruits & Vegetables,"Lemon, Ginger & Garlic"
Urad - Whole/Gota,BB Royal,210.0,155.0,https://www.bigbasket.com/media/uploads/p/l/10000472_11-bb-royal-urad-wholegota.jpg,1,"Foodgrains, Oil & Masala",Urad & Other Dals
Urad Gota - Whole,BB Royal,420.0,306.0,https://www.bigbasket.com/media/uploads/p/l/20000430_8-bb-royal-urad-gota-whole.jpg,2,"Foodgrains, Oil & Masala",Urad & Other Dals
Ginger (Loose),Fresho,124.68,71.5,https://www.bigbasket.com/media/uploads/p/l/10000338_13-fresho-ginger.jpg,1,Fruits & Vegetables,"Lemon, Ginger & Garlic"
California Almonds,Happilo,275.0,181.0,https://www.bigbasket.com/media/uploads/p/l/40087191_6-happilo-premium-natural-californian-almonds.jpg,200,Gourmet & World Food,Dry Fruits & Berries
Gold Refined Cooking oil | Blended Rice Bran & Sunflower oil | Helps Keeps Heart Healthy,Saffola,250.0,185.0,https://www.bigbasket.com/media/uploads/p/l/147491_9-saffola-gold-refined-cooking-oil-blended-rice-bran-sunflower-oil-helps-keeps-heart-healthy.jpg,1,"Foodgrains, Oil & Masala",Blended Cooking Oils
Carrot - Ooty (Loose),Fresho,203.9,94.0,https://www.bigbasket.com/media/uploads/p/l/10000272_12-fresho-carrot-ooty.jpg,1,Fruits & Vegetables,Root Vegetables
Mustard/Sasive/Rai - Big,BB Royal,60.0,37.0,https://www.bigbasket.com/media/uploads/p/l/40000624_10-bb-royal-mustardrai-big.jpg,200,"Foodgrains, Oil & Masala",Whole Spices
"Avalakki  Medium - Flattened & Beaten Rice , Makers Breakfast &  Teatime Snacks",BB Royal,80.0,60.0,https://www.bigbasket.com/media/uploads/p/l/40105916_4-bb-royal-avalakki-medium.jpg,1,"Foodgrains, Oil & Masala","Poha, Sabudana & Murmura"
"Avalakki Medium - Flattened & Beaten Rice , Makers Breakfast &  Teatime Snacks",BB Royal,40.0,34.0,https://www.bigbasket.com/media/uploads/p/l/40105917_4-bb-royal-avalakki-medium.jpg,500,"Foodgrains, Oil & Masala","Poha, Sabudana & Murmura"
Bright Beauty Spot-less Fairness & Germ Removal Face Wash,Ponds,175.0,122.5,https://www.bigbasket.com/media/uploads/p/l/40002058_9-ponds-bright-beauty-spot-less-fairness-germ-removal-face-wash.jpg,100,Beauty & Hygiene,Face Care
Organic - Sugar/Sakkare,BB Royal,215.0,119.0,https://www.bigbasket.com/media/uploads/p/l/40093610_12-bb-royal-organic-sugar.jpg,2,"Foodgrains, Oil & Masala","Organic Sugar, Jaggery"
Chana - Brown/Kadale Kaalu,BB Popular,140.0,97.0,https://www.bigbasket.com/media/uploads/p/l/70001280_10-bb-popular-channa-brown.jpg,1,"Foodgrains, Oil & Masala","Toor, Channa & Moong Dal"
"Premium Care Diaper Pants - Extra Large, 12-17 kg, Lotion with Aloe Vera",Pampers ,299.0,258.0,https://www.bigbasket.com/media/uploads/p/l/40131171_5-pampers-premium-care-diaper-pants-with-wetness-indicator-cottony-soft-xl.jpg,11,Baby Care,Diapers
Organic Jaggery/Bella Powder,BB Royal,95.0,52.0,https://www.bigbasket.com/media/uploads/p/l/40186968_1-bb-royal-organic-jaggery-powder.jpg,500,"Foodgrains, Oil & Masala","Organic Sugar, Jaggery"
Baby Lips Lip Balm,Maybelline New York,199.0,175.0,https://www.bigbasket.com/media/uploads/p/l/30004013_9-maybelline-new-york-baby-lips-lip-balm.jpg,4,Beauty & Hygiene,Lips
Premium Natural Whole Cashews,Happilo,335.0,220.0,https://www.bigbasket.com/media/uploads/p/l/40087196_5-happilo-premium-natural-whole-cashews.jpg,200,Gourmet & World Food,Roasted Seeds & Nuts
Nacho Chips - Jalapeno,Tasties,90.0,65.0,https://www.bigbasket.com/media/uploads/p/l/40196816_4-tasties-nacho-chips-jalapeno.jpg,150,Gourmet & World Food,Nachos & Chips
Carbon Zinc Battery Red HD AAA 1012,Eveready,360.0,261.9,https://www.bigbasket.com/media/uploads/p/l/1214633_1-eveready-carbon-zinc-battery-red-hd-aaa-1012.jpg,2,"Kitchen, Garden & Pets",Battery & Electrical
1012 Carbon Zinc Battery - AAA,Eveready,180.0,135.0,https://www.bigbasket.com/media/uploads/p/l/40128535_3-eveready-carbon-zinc-battery-red-hd-aaa-1012.jpg,10,"Kitchen, Garden & Pets",Battery & Electrical
Coriander Seeds/Kottambari Beeja,BB Royal,100.0,60.0,https://www.bigbasket.com/media/uploads/p/l/40000625_11-bb-royal-corianderdhania-seeds.jpg,200,"Foodgrains, Oil & Masala",Whole Spices
Coriander / Dhania Seeds,BB Royal,25.0,16.0,https://www.bigbasket.com/media/uploads/p/l/40058661_8-bb-royal-coriander-dhania-seeds.jpg,50,"Foodgrains, Oil & Masala",Whole Spices
"Chilli - Green Long, Medium (Loose)",Fresho,11.56,7.5,https://www.bigbasket.com/media/uploads/p/l/10000081_19-fresho-chilli-green-long-medium.jpg,100,Fruits & Vegetables,"Lemon, Ginger & Garlic"
Cardamom Green/Elakki,BB Royal,225.0,127.0,https://www.bigbasket.com/media/uploads/p/l/40072499_13-bb-royal-organic-cardamomelachi-green.jpg,50,"Foodgrains, Oil & Masala",Organic Masalas & Spices
Organic - Cardamom Green/Elakki,BB Royal,449.0,249.0,https://www.bigbasket.com/media/uploads/p/l/40203900_1-bb-royal-organic-cardamom-green.jpg,100,"Foodgrains, Oil & Masala",Organic Masalas & Spices
Curry Leaves,Fresho,15.71,5.5,https://www.bigbasket.com/media/uploads/p/l/10000104_17-fresho-curry-leaves.jpg,100,Fruits & Vegetables,Indian & Exotic Herbs
Bitter Gourd (Loose),Fresho,79.22,47.0,https://www.bigbasket.com/media/uploads/p/l/10000048_21-fresho-bitter-gourd.jpg,1,Fruits & Vegetables,"Gourd, Pumpkin, Drumstick"
"Soft Light Moisturizer - With Vitamin E & Jojoba Oil, For Face, Hand & Body, Instant Hydration, Non-greasy Cream",Nivea,90.0,75.0,https://www.bigbasket.com/media/uploads/p/l/263114_5-nivea-soft-light-moisturising-cream.jpg,50,Beauty & Hygiene,Face Care
"Mint Leaves - Cleaned, without roots",Fresho,13.51,6.5,https://www.bigbasket.com/media/uploads/p/l/10000137_19-fresho-mint-leaves-cleaned-without-roots.jpg,100,Fruits & Vegetables,Leafy Vegetables
Black Pepper/Kari Menasu,BB Popular,280.0,188.0,https://www.bigbasket.com/media/uploads/p/l/40073432_7-bb-popular-black-pepperkali-mirch.jpg,200,"Foodgrains, Oil & Masala",Whole Spices
Brinjal - Varikatri (Loose),Fresho,71.43,39.0,https://www.bigbasket.com/media/uploads/p/l/10000058_20-fresho-brinjal-varikatri.jpg,1,Fruits & Vegetables,"Beans, Brinjals & Okra"
Tamarind/Imli - Deseeded,BB Royal,80.0,50.0,https://www.bigbasket.com/media/uploads/p/l/40056540_7-bb-royal-tamarindimli-deseeded.jpg,200,"Foodgrains, Oil & Masala",Whole Spices
Phool Makhana,BB Royal,400.0,225.0,https://www.bigbasket.com/media/uploads/p/l/40128952_4-bb-royal-phool-makhana.jpg,200,"Foodgrains, Oil & Masala",Whole Spices
100% Natural Premium Kashmiri Walnuts Kernels,Happilo,455.0,320.0,https://www.bigbasket.com/media/uploads/p/l/40087194_7-happilo-premium-natural-kashmiri-walnut-kernels.jpg,200,Gourmet & World Food,Dry Fruits & Berries
"High In Fibre Thick Poha - Flattened & Beaten Rice, Makes Breakfast & Teatime Snack",Tata Sampann,44.0,33.0,https://www.bigbasket.com/media/uploads/p/l/40178083_5-tata-sampann-thick-poha.jpg,500,"Foodgrains, Oil & Masala","Poha, Sabudana & Murmura"
"White Thick Poha - High In Fibre, For Breakfast & Evening Tea",Tata Sampann,88.0,82.0,https://www.bigbasket.com/media/uploads/p/l/40220133_1-tata-sampann-white-thick-poha-high-in-fibre.jpg,1,"Foodgrains, Oil & Masala","Poha, Sabudana & Murmura"
Organic - Sona Masoori Raw Rice/Akki,BB Royal,925.0,619.0,https://www.bigbasket.com/media/uploads/p/l/40127665_11-bb-royal-organic-sona-masoori-raw-rice.jpg,10,"Foodgrains, Oil & Masala","Organic Rice, Other Rice"
Rice/Akki - Dosa,BB Royal,120.0,90.0,https://www.bigbasket.com/media/uploads/p/l/40018896_3-bb-royal-rice-dosa.jpg,2,"Foodgrains, Oil & Masala",Raw Rice
Idli - Sooji,BB Royal,120.0,78.0,https://www.bigbasket.com/media/uploads/p/l/20000401_7-bb-royal-idli-sooji.jpg,2,"Foodgrains, Oil & Masala","Sooji, Maida & Besan"
Idli Sooji/Rava,BB Royal,30.0,22.0,https://www.bigbasket.com/media/uploads/p/l/20000524_6-bb-royal-idli-soojirava.jpg,500,"Foodgrains, Oil & Masala","Sooji, Maida & Besan"
Beans - Broad (Loose),Fresho,140.26,73.5,https://www.bigbasket.com/media/uploads/p/l/10000036_20-fresho-beans-broad.jpg,1,Fruits & Vegetables,"Beans, Brinjals & Okra"
Mach3 - Manual Shaving Razor Blades Cartridge,Gillette,1299.0,1234.0,https://www.bigbasket.com/media/uploads/p/l/263494_9-gillette-mach3-manual-shaving-razor-blades-cartridge.jpg,12,Beauty & Hygiene,Shaving Care
"Mach 3 Razor/Refill - With Comfort Gel Bar, Micro Fin & Indicator Lubrication Strip",Gillette,499.0,415.0,https://www.bigbasket.com/media/uploads/p/l/189204_13-gillette-mach-3-razorrefill-with-comfort-gel-bar-micro-fin-indicator-lubrication-strip.jpg,4,Beauty & Hygiene,Shaving Care
"Mach 3 Bladed Shaving Cartridges/Razor - With Lubrication Strip, Protects Skin",Gillette,1840.0,1472.0,https://www.bigbasket.com/media/uploads/p/l/40178581_9-gillette-mach-3-bladed-shaving-cartridgesrazor-with-lubrication-strip-protects-skin.jpg,16,Beauty & Hygiene,Shaving Care
Roasted Sooji/Rava,BB Royal,40.0,29.0,https://www.bigbasket.com/media/uploads/p/l/40018193_5-bb-royal-roasted-soojirava.jpg,500,"Foodgrains, Oil & Masala","Sooji, Maida & Besan"
Nacho Chips - Cheese,Tasties,40.0,32.0,https://www.bigbasket.com/media/uploads/p/l/40196817_3-tasties-nacho-chips-cheese.jpg,60,Gourmet & World Food,Nachos & Chips
"Almond/Badam - Californian, Giri",BB Royal,1500.0,1050.0,https://www.bigbasket.com/media/uploads/p/l/40088564_8-bb-royal-almondbadam-californian-giri.jpg,1,"Foodgrains, Oil & Masala",Almonds
"Liquid Handwash Refill - Germ Fighter Neem & Aloe Vera, Keeps Skin Hydrated",Godrej Protekt,99.0,74.0,https://www.bigbasket.com/media/uploads/p/l/40076275_7-godrej-protekt-germ-fighter-liquid-handwash-refill-neem-aloe-vera.jpg,750,Beauty & Hygiene,Hand Wash & Sanitizers
Garlic - Peeled,Fresho,76.62,39.0,https://www.bigbasket.com/media/uploads/p/l/30005201_4-fresho-garlic-peeled.jpg,200,Fruits & Vegetables,Cut & Peeled Veggies
"Pearl & Beauty Women Deodorant Roll On - For Smooth & Beautiful Underarms, 48h Protection",Nivea,199.0,159.2,https://www.bigbasket.com/media/uploads/p/l/40004453_5-nivea-pearl-beauty-women-deodorant-roll-on-for-smooth-beautiful-underarms-48h-protection.jpg,50,Beauty & Hygiene,Women's Deodorants
Coconut - Large,Fresho,36.36,22.5,https://www.bigbasket.com/media/uploads/p/l/10000092_15-fresho-coconut-large.jpg,1,Fruits & Vegetables,Seasonal Fruits
"Sabudana - White, Medium",BB Royal,70.0,49.0,https://www.bigbasket.com/media/uploads/p/l/30000216_8-bb-royal-sabudana-white-medium.jpg,500,"Foodgrains, Oil & Masala","Poha, Sabudana & Murmura"
Chocos - Moons & Stars,Kelloggs,190.0,190.0,https://www.bigbasket.com/media/uploads/p/l/30005233_21-kelloggs-chocos-moons-stars.jpg,375,Snacks & Branded Foods,Kids Cereal
Green Peas,Yummiez,65.0,48.75,https://www.bigbasket.com/media/uploads/p/l/40005419_4-yuliez-green-peas.jpg,200,Snacks & Branded Foods,Frozen Vegetables
Olive Oil For Indian Cooking - Frying & Baking,BORGES,2600.0,1172.0,https://www.bigbasket.com/media/uploads/p/l/40007265_5-borges-olive-oil-extra-light.jpg,2,"Foodgrains, Oil & Masala",Olive & Canola Oils
"Frozen Sweet Corn - Preservative Free, Fresh & Juicy Kernels",Fresho,100.0,85.0,https://www.bigbasket.com/media/uploads/p/l/40251515_2-fresho-frozen-sweet-corn-preservative-free-fresh-juicy-kernels.jpg,500,Snacks & Branded Foods,Frozen Vegetables
Frozen Sweet Corn,Fresho,200.0,139.0,https://www.bigbasket.com/media/uploads/p/l/40208830_10-fresho-frozen-sweet-corn.jpg,1,Snacks & Branded Foods,Frozen Vegetables
Cashew/Godambi - Split,BB Royal,180.0,97.0,https://www.bigbasket.com/media/uploads/p/l/40111137_9-bb-royal-cashewkaju-split.jpg,100,"Foodgrains, Oil & Masala",Cashews
Jaggery/Bella Round,BB Royal,50.0,36.0,https://www.bigbasket.com/media/uploads/p/l/10000488_12-bb-royal-jaggery-round.jpg,500,"Foodgrains, Oil & Masala",Sugar & Jaggery
"Bindazzz Nights Sanitary Pads - XL, Longer & Wider Back, Stops Leakage",Whisper ,350.0,333.0,https://www.bigbasket.com/media/uploads/p/l/40138607_6-whisper-bindazzz-nights-sanitary-pads-xl-longer-wider-back-stops-leakage.jpg,27,Beauty & Hygiene,Sanitary Napkins
Matic Detergent Washing Powder - Front Load,Ariel,309.0,309.0,https://www.bigbasket.com/media/uploads/p/l/40097081_10-ariel-matic-detergent-washing-powder-front-load.jpg,1,Cleaning & Household,"Detergent Powder, Liquid"
