,ProductName,Brand,Price,DiscountPrice,Image_Url,Quantity,Category,SubCategory
911,"BodyLovin' Body Mist - Vanilla Vibes, Vegan, Cruelty-Free",Plum,150.0,135.0,https://www.bigbasket.com/media/uploads/p/l/40252684_1-plum-bodylovin-body-mist-vanilla-vibes-vegan-cruelty-free.jpg,30,Beauty & Hygiene,Body Sprays & Mists
1012,"Premium Digital Tampon - Medium Flow, FDA Approved",Sirona,295.0,215.0,https://www.bigbasket.com/media/uploads/p/l/40125228_7-sirona-premium-digital-tampon-medium-flow-fda-approved.jpg,20,Beauty & Hygiene,Tampons & Menstrual Cups
1057,Pro Super Soft Reusable FDA Approved Menstrual Cup With Medical Grade Silicon - Medium,Sirona,499.0,424.0,https://www.bigbasket.com/media/uploads/p/l/40202389_2-sirona-pro-super-soft-reusable-fda-approved-menstrual-cup-with-medical-grade-silicon-medium.jpg,1,Beauty & Hygiene,Tampons & Menstrual Cups
1060,"Perfumed Water - Sweet, Natural Sensation",Chicco,699.0,489.3,https://www.bigbasket.com/media/uploads/p/l/40122865_3-chicco-perfumed-water-sweet-natural-sensation.jpg,100,Baby Care,Baby Bath
1123,"Menstrual Cup - Wings, Regular",Stonesoup,945.0,567.0,https://www.bigbasket.com/media/uploads/p/l/40090774_7-stonesoup-menstrual-cup-wings-regular.jpg,23,Beauty & Hygiene,Tampons & Menstrual Cups
1124,"Menstrual Cup - Wings, Soft",Stonesoup,945.0,567.0,https://www.bigbasket.com/media/uploads/p/l/40127725_4-stonesoup-menstrual-cup-wings-soft.jpg,23,Beauty & Hygiene,Tampons & Menstrual Cups
1125,"Menstrual Cup - Wings, Tough",Stonesoup,945.0,567.0,https://www.bigbasket.com/media/uploads/p/l/40127726_4-stonesoup-menstrual-cup-wings-tough.jpg,23,Beauty & Hygiene,Tampons & Menstrual Cups
1128,Classic Sultan Dates,Ziofit,210.0,157.5,https://www.bigbasket.com/media/uploads/p/l/40176602_4-ziofit-classic-sultan-dates.jpg,500,Gourmet & World Food,Dry Fruits & Berries
1154,Mesmerising Lip Color,Coloressence,250.0,175.0,https://www.bigbasket.com/media/uploads/p/l/40138548_1-coloressence-mesmerising-lip-color.jpg,4,Beauty & Hygiene,Lips
1167,Dates/Kharjura - Mazafati,BB Royal,210.0,140.0,https://www.bigbasket.com/media/uploads/p/l/40128190_3-bb-royal-dates-mazafati.jpg,300,"Foodgrains, Oil & Masala",Other Dry Fruits
1228,"Cherry Romantic Floral Hand Cream - With Shea Butter, Moisturises Deeply",Swiss Beauty,99.0,69.3,https://www.bigbasket.com/media/uploads/p/l/40223763_1-swiss-beauty-cherry-romantic-floral-hand-cream-with-shea-butter-moisturises-deeply.jpg,35,Beauty & Hygiene,Body Care
1229,"Jasmine Romantic Floral Hand Cream - With Shea Butter, Moisturises Deeply",Swiss Beauty,99.0,69.3,https://www.bigbasket.com/media/uploads/p/l/40223765_1-swiss-beauty-jasmine-romantic-floral-hand-cream-with-shea-butter-moisturises-deeply.jpg,35,Beauty & Hygiene,Body Care
1252,"Reusable Menstrual Cup - With No Rashes, Leakage Or Odour, Large",Sanfe,499.0,357.0,https://www.bigbasket.com/media/uploads/p/l/40229338_1-sanfe-reusable-menstrual-cup-with-no-rashes-leakage-or-odour-large.jpg,100,Beauty & Hygiene,Tampons & Menstrual Cups
1309,Clean & Pure Intimate Hygiene Wash With Tea Tree Oil & Sea Buckthorn,Dr. Morepen,175.0,131.25,https://www.bigbasket.com/media/uploads/p/l/40207672_1-dr-morepen-clean-pure-intimate-hygiene-wash-with-tea-tree-oil-sea-buckthorn.jpg,100,Beauty & Hygiene,Intimate Wash & Care
1316,"Classic Intimate Wash For Women - Naturally pH Balanced, Paraben Free",EveCare,165.0,107.25,https://www.bigbasket.com/media/uploads/p/l/40240507_3-evecare-classic-intimate-wash-for-women-naturally-ph-balanced-paraben-free.jpg,90,Beauty & Hygiene,Intimate Wash & Care
1328,"Regular Flow Tampons - 100% Organic Cotton, Non-Applicator",Sirona,399.0,299.0,https://www.bigbasket.com/media/uploads/p/l/40202382_2-sirona-regular-flow-tampons-100-organic-cotton-non-applicator.jpg,18,Beauty & Hygiene,Tampons & Menstrual Cups
1429,Girl - Now Eau De Toilette,Tommy Hilfiger,4700.0,3290.0,https://www.bigbasket.com/media/uploads/p/l/40165427_3-toly-hilfiger-girl-now-eau-de-toilette.jpg,100,Beauty & Hygiene,Eau De Toilette
1444,Retone Nipple Depigmenting Serum - Cherry Blossom & Coconut Oil,Sanfe,599.0,359.4,https://www.bigbasket.com/media/uploads/p/l/40229361_1-sanfe-retone-nipple-depigmenting-serum-cherry-blossom-coconut-oil.jpg,50,Baby Care,Maternity Personal Care
1470,Diva Pout Lipstick - Brown Sugar Love,Biotique Natural Makeup,800.0,600.0,https://www.bigbasket.com/media/uploads/p/l/40192724_1-biotique-natural-makeup-diva-pout-lipstick-brown-sugar-love.jpg,4,Beauty & Hygiene,Lips
1491,"Pure Perfume - Sweet Passion, Fruity & Floral, Get Set Rollin",Iba,299.0,224.25,https://www.bigbasket.com/media/uploads/p/l/40225689_1-iba-pure-perfume-sweet-passion-fruity-floral-get-set-rollin.jpg,10,Beauty & Hygiene,Perfume
1656,L'Amante Intensity Eau De Parfum - Perfume For Women,Engage,999.0,749.25,https://www.bigbasket.com/media/uploads/p/l/40203938_1-engage-lamante-intensity-eau-de-parfum-perfume-for-women.jpg,100,Beauty & Hygiene,Eau De Parfum
1667,"Gokshura Tablets - For Men, For Vigour, Vitality, Desire & Drive",Dr. Morepen,695.0,417.0,https://www.bigbasket.com/media/uploads/p/l/40224197_1-dr-morepen-gokshura-tablets-for-men-for-vigour-vitality-desire-drive.jpg,60,Beauty & Hygiene,Supplements & Proteins
1694,Wipeout Germ Killing Face Wash,MyGlamm,119.0,89.0,https://www.bigbasket.com/media/uploads/p/l/40200840_1-myglal-wipeout-germ-killing-face-wash.jpg,60,Beauty & Hygiene,Face Care
1790,"Romance Aromatherapy Diffuser Oil - Orange, Rose, Jasmine & Melissa",Oriental Botanics,899.0,674.25,https://www.bigbasket.com/media/uploads/p/l/40140519_4-oriental-botanics-romance-aromatherapy-diffuser-oil-orange-rose-jasmine-melissa.jpg,15,Beauty & Hygiene,Aromatherapy
1852,"Z Menstrual Disc With Soft Pouch - 12 Hour Protection, Long Lasting, For Periods Care & Comfort",LemmeBe,1599.0,799.5,https://www.bigbasket.com/media/uploads/p/l/40248235_1-lelebe-z-menstrual-disc-with-soft-pouch-12-hour-protection-long-lasting-for-periods-care-comfort.jpg,50,Beauty & Hygiene,Tampons & Menstrual Cups
1911,"Desire Perfume Spray Eau De Parfum - Long Lasting Fragrance, For Women",La' French,799.0,399.5,https://www.bigbasket.com/media/uploads/p/l/40232392_1-la-french-desire-perfume-spray-eau-de-parfum-long-lasting-fragrance-for-women.jpg,100,Beauty & Hygiene,Eau De Parfum
1932,"Lady - Deodorant, Long Lasting Fragrance",Cfs,250.0,187.5,https://www.bigbasket.com/media/uploads/p/l/40258552_2-cfs-cfs-deodorant-lady-200ml.jpg,200,Beauty & Hygiene,Women's Deodorants
2037,"Intimate Wash - With Tea Tree Oil & Aloe Vera, Prevents Irritation & Itching",VHealth,100.0,70.0,https://www.bigbasket.com/media/uploads/p/l/40225423_1-vhealth-intimate-wash-with-tea-tree-oil-aloe-vera-prevents-irritation-itching.jpg,50,Beauty & Hygiene,Sexual Wellness
2081,Romantic Lipstick,Pink Line,199.0,99.5,https://www.bigbasket.com/media/uploads/p/l/40193459_1-pink-line-romantic-lipstick.jpg,29,Beauty & Hygiene,Lips
2086,Hyperion Rc LED Torch Cum Table Lamp,Bajaj,790.0,549.0,https://www.bigbasket.com/media/uploads/p/l/40224349_1-bajaj-hyperion-rc-led-torch-cum-table-lamp.jpg,260,"Kitchen, Garden & Pets",CFL & Led Bulbs
2123,Kesar Angoori Petha,Rafael,300.0,225.0,https://www.bigbasket.com/media/uploads/p/l/40193687_1-rafael-kesar-angoori-petha.jpg,500,Snacks & Branded Foods,"Tinned, Packed Sweets"
2140,"Blue Homme Mist - Lusciously Subtle Aromas, Long Lasting Fragrance",Armaf,499.0,274.45,https://www.bigbasket.com/media/uploads/p/l/40254719_2-armaf-blue-hole-mist-lusciously-subtle-aromas-long-lasting-fragrance.jpg,250,Beauty & Hygiene,Body Sprays & Mists
2143,"Signature True Mist - Lusciously Subtle Aromas, Long Lasting Fragrance, For Women",Armaf,499.0,299.4,https://www.bigbasket.com/media/uploads/p/l/40254725_2-armaf-armaf-signature-true-women-250ml-mist.jpg,250,Beauty & Hygiene,Body Sprays & Mists
2144,"Shades - Fragrance Body Mist, Lusciously Subtle Aromas, For Men",Armaf,499.0,299.4,https://www.bigbasket.com/media/uploads/p/l/40254739_2-armaf-armaf-shades-men-fragrance-body-spray-250ml-84-fl-oz.jpg,250,Beauty & Hygiene,Body Sprays & Mists
2145,"Momento Fluer - Pour Femme, Fragrance Body Spray, Lusciously Subtle Aromas",Armaf,499.0,274.45,https://www.bigbasket.com/media/uploads/p/l/40254740_2-armaf-armaf-momento-fluer-pour-fele-fragrance-body-spray-250ml-84-fl-oz.jpg,250,Beauty & Hygiene,Body Sprays & Mists
2148,"Magnum - Pour Homme, Midnight, Perfume Body Spray, Long-lasting Fragrance",Armaf,299.0,179.4,https://www.bigbasket.com/media/uploads/p/l/40254745_2-armaf-armaf-magnum-pour-hole-midnight-perfume-body-spray-200ml-68-floz.jpg,200,Beauty & Hygiene,Men's Deodorants
2149,"Magnum - Pour Femme, Pearl River, Perfume Body Spray, Long-lasting Fragrance",Armaf,299.0,179.4,https://www.bigbasket.com/media/uploads/p/l/40254746_2-armaf-armaf-magnum-pour-fele-pearl-river-perfume-body-spray-200ml-68-floz.jpg,200,Beauty & Hygiene,Women's Deodorants
2151,"Magnum - Pour Femme, Sepia, Perfume Body Spray, Long-lasting Fragrance",Armaf,299.0,164.45,https://www.bigbasket.com/media/uploads/p/l/40254748_2-armaf-armaf-magnum-pour-fele-sepia-perfume-body-spray-200ml-68-floz.jpg,200,Beauty & Hygiene,Women's Deodorants
2212,Sidpiles Tablets - For Effective Relief from Piles,Baidyanath Nagpur,114.0,79.8,https://www.bigbasket.com/media/uploads/p/l/40201764_1-baidyanath-nagpur-sidpiles-tablets-for-effective-relief-from-piles.jpg,25,Beauty & Hygiene,Ayurveda
2236,Ballistic Anti-Chafing Intimate Cologne Gel For Men - Cooling & Refreshing,ZLADE,499.0,374.25,https://www.bigbasket.com/media/uploads/p/l/40252320_1-zlade-ballistic-anti-chafing-intimate-cologne-gel-for-men-cooling-refreshing.jpg,100,Beauty & Hygiene,Shaving Care
2366,"Pink-Red Heart Printed Cupcake Moulds - Paper, BB1339",DP,129.0,79.0,https://www.bigbasket.com/media/uploads/p/l/40186674_1-dp-pink-red-heart-printed-cupcake-moulds-paper-bb1339.jpg,50,"Kitchen, Garden & Pets","Bakeware Moulds, Cutters"
2367,"Pink Heart Printed Cupcake Moulds - Paper, BB1340",DP,129.0,79.0,https://www.bigbasket.com/media/uploads/p/l/40186675_1-dp-pink-heart-printed-cupcake-moulds-paper-bb1340.jpg,50,"Kitchen, Garden & Pets","Bakeware Moulds, Cutters"
2402,Nirmal - Pink Rose Agarbatti Sticks,Shubhkart,65.0,39.0,https://www.bigbasket.com/media/uploads/p/l/40231385_1-shubhkart-nirmal-pink-rose-agarbatti-sticks.jpg,18,Cleaning & Household,"Agarbatti, Incense Sticks"
2512,"Eau De Toilette - Tender, Long-Lasting & Dense Fragrance, For Women",All Good Scents,1190.0,773.5,https://www.bigbasket.com/media/uploads/p/l/40251271_1-all-good-scents-eau-de-toilette-tender-long-lasting-dense-fragrance-for-women.jpg,100,Beauty & Hygiene,Eau De Toilette
2515,"Eau De Toilette - Red, Woody, Spicy Notes, Lasting Fragrance, For Men",For Me,799.0,479.4,https://www.bigbasket.com/media/uploads/p/l/40251285_1-for-me-eau-de-toilette-red-woody-spicy-notes-lasting-fragrance-for-men.jpg,100,Beauty & Hygiene,Eau De Toilette
2579,"Teen Sanitary Night Pads - 100% Cotton, Certified Biodegradable",LemmeBe,720.0,468.0,https://www.bigbasket.com/media/uploads/p/l/40226323_1-lelebe-lets-call-it-a-night-heavy-flow-sanitary-pads-thin-soft-environment-friendly.jpg,7,Beauty & Hygiene,Sanitary Napkins
2652,"Green Emerald Blends Eau De Perfume - Long Lasting Fragrance, Fights Odour & Smell",Smart Collection,175.0,87.5,https://www.bigbasket.com/media/uploads/p/l/40244376_1-smart-collection-green-emerald-blends-eau-de-perfume-long-lasting-fragrance-fights-odour-smell.jpg,30,Beauty & Hygiene,Eau De Parfum
2658,"Intimate Wash - pH Balanced, Hygienic Care Expert, Refreshing & Moisturising, For Men",Mancode,350.0,210.0,https://www.bigbasket.com/media/uploads/p/l/40243497_1-mancode-intimate-wash-ph-balanced-hygienic-care-expert-refreshing-moisturising-for-men.jpg,100,Beauty & Hygiene,Bath & Shower
2695,Perfect Smokey Eye Palette,Deborah,1100.0,715.0,https://www.bigbasket.com/media/uploads/p/l/40146763_1-deborah-perfect-smokey-eye-palette.jpg,5,Beauty & Hygiene,Makeup Kits & Gift Sets
2837,Seductive Homme Blue Eau De Toilette,Guess,4000.0,2400.0,https://www.bigbasket.com/media/uploads/p/l/40139300_9-guess-seductive-hole-blue-eau-de-toilette.jpg,100,Beauty & Hygiene,Eau De Toilette
2854,Schezwan Rice - Ready In 10 Minutes,Daawat Cuppa Rice,80.0,80.0,https://www.bigbasket.com/media/uploads/p/l/40225268_1-daawat-cuppa-rice-schezwan-rice-ready-in-10-minutes.jpg,86,Snacks & Branded Foods,Heat & Eat Ready Meals
2874,Ylang Ylang Pure Essential Oil,INATUR ,450.0,243.0,https://www.bigbasket.com/media/uploads/p/l/40149942_4-inatur-ylang-ylang-pure-essential-oil.jpg,12,Beauty & Hygiene,Aromatherapy
2885,"Heart Foil Balloons - Rose Gold, 18"", For Decoration",Hankley,339.0,219.0,https://www.bigbasket.com/media/uploads/p/l/40244229_1-hankley-heart-foil-balloons-rose-gold-18-for-decoration.jpg,6,Cleaning & Household,"Caps, Balloons & Candles"
2942,Excite Condom - Strawberry Flavour,KamaSutra,80.0,57.6,https://www.bigbasket.com/media/uploads/p/l/40152494_2-kamasutra-excite-condom-strawberry-flavour.jpg,10,Beauty & Hygiene,Sexual Wellness
2944,"Reusable Menstrual Disc - Small, 100% Medical Grade Silicone, Up To 8 Hour Protection, Non Toxic & Phthalate Free",Sirona,699.0,552.21,https://www.bigbasket.com/media/uploads/p/l/40239827_1-sirona-reusable-menstrual-disc-small-100-medical-grade-silicone-up-to-8-hour-protection-non-toxic-phthalate-free.jpg,1,Beauty & Hygiene,Tampons & Menstrual Cups
2954,Lube - Strawberry Sensation,Skore,300.0,225.0,https://www.bigbasket.com/media/uploads/p/l/40117912_2-skore-lube-strawberry-sensation.jpg,50,Beauty & Hygiene,Sexual Wellness
2991,"Just For You - Pour Homme, Eau De Parfum, For Men, Long-lasting Fragrance",Armaf,1350.0,810.0,https://www.bigbasket.com/media/uploads/p/l/40254773_2-armaf-armaf-just-for-you-pour-hole-eau-de-parfum-for-men-100ml.jpg,100,Beauty & Hygiene,Eau De Parfum
2992,"Just For You - Pour Femme, Eau De Parfum, For Women, Long-lasting Fragrance",Armaf,1350.0,810.0,https://www.bigbasket.com/media/uploads/p/l/40254774_2-armaf-armaf-just-for-you-pour-fele-eau-de-parfum-for-women-100ml.jpg,100,Beauty & Hygiene,Eau De Parfum
3004,"Master Body Spray - Voyager Intense, Fragrance Lasts All Day Long, For Women",Fogg ,275.0,178.75,https://www.bigbasket.com/media/uploads/p/l/40257442_2-fogg-master-body-spray-voyager-intense-fragrance-lasts-all-day-long-for-women.jpg,120,Beauty & Hygiene,Men's Deodorants
3046,"Munchies - For Dogs & Pups of All Breeds, Mixed",GLENAND,190.0,142.5,https://www.bigbasket.com/media/uploads/p/l/40012455_2-glenand-dog-munchies-mix.jpg,450,"Kitchen, Garden & Pets",Pet Meals & Treats
3065,"Collapsible Menstrual Cup - Silicone, Foldable, With Sterilizing Container, Microwave Friendly",Sirona,499.0,349.3,https://www.bigbasket.com/media/uploads/p/l/40242204_1-sirona-collapsible-menstrual-cup-silicone-foldable-with-sterilizing-container-microwave-friendly.jpg,1,Beauty & Hygiene,Tampons & Menstrual Cups
3167,"Rose Milkshake - Rich, Creamy, High Protein",Epigamia ,35.0,17.5,https://www.bigbasket.com/media/uploads/p/l/40244401_3-epigamia-rose-milkshake-rich-creamy-high-protein-greek-yogurts.jpg,180,Gourmet & World Food,Flavoured & Greek Yogurt
3170,"Atta With 9 Multigrains, High Fibre & High Protein Soft Rotis",BB Royal,68.0,62.0,https://www.bigbasket.com/media/uploads/p/l/40189431_3-bb-royal-multigrain-atta-fortified.jpg,1,"Foodgrains, Oil & Masala",Atta Whole Wheat
3171,"Multigrain Biskies - For Dogs, Real Chicken",Choostix,300.0,225.0,https://www.bigbasket.com/media/uploads/p/l/40100658_3-choostix-pet-food-biskies-real-chicken.jpg,1,"Kitchen, Garden & Pets",Pet Meals & Treats
3172,"Multigrain Biskies - For Dogs, Real Cheese",Choostix,300.0,225.0,https://www.bigbasket.com/media/uploads/p/l/40100667_1-choostix-pet-food-biskies-real-cheese.jpg,1,"Kitchen, Garden & Pets",Pet Meals & Treats
3173,Shampoo - Skin & Coat,Choostix,200.0,150.0,https://www.bigbasket.com/media/uploads/p/l/40100680_1-choostix-shampoo-skin-coat.jpg,200,"Kitchen, Garden & Pets",Pet Cleaning & Grooming
3174,Dog Brush,Choostix,150.0,112.5,https://www.bigbasket.com/media/uploads/p/l/40100686_1-choostix-dog-brush.jpg,1,"Kitchen, Garden & Pets",Pet Cleaning & Grooming
3175,Cayenne 450 mg Capsules - Detoxifies The Body,Healthvit,500.0,350.0,https://www.bigbasket.com/media/uploads/p/l/40218870_1-healthvit-cayenne-450-mg-capsules-detoxifies-the-body.jpg,60,Beauty & Hygiene,Supplements & Proteins
3176,Cenvitan - Lysine Multivitamin For Kids Chewable Tablets,Healthvit,450.0,315.0,https://www.bigbasket.com/media/uploads/p/l/40218871_1-healthvit-cenvitan-lysine-multivitamin-for-kids-chewable-tablets.jpg,60,Beauty & Hygiene,Supplements & Proteins
3177,Cenvitan - Men 50+ Multivitamin & Multimineral Tablets,Healthvit,500.0,350.0,https://www.bigbasket.com/media/uploads/p/l/40218872_2-healthvit-cenvitan-men-50-multivitamin-multimineral-tablets.jpg,60,Beauty & Hygiene,Supplements & Proteins
3178,Chicory Root 900 mg Capsules - For Immunity Booster,Healthvit,700.0,490.0,https://www.bigbasket.com/media/uploads/p/l/40218874_1-healthvit-chicory-root-900-mg-capsules-for-ilunity-booster.jpg,60,Beauty & Hygiene,Ayurveda
3179,Chromium Picolinate 200 mcg Capsules - Supports Weight Management,Healthvit,500.0,350.0,https://www.bigbasket.com/media/uploads/p/l/40218877_1-healthvit-chromium-picolinate-200-mcg-capsules-supports-weight-management.jpg,60,Beauty & Hygiene,Supplements & Proteins
3180,Clove 470 mg Capsules - Regulate Blood Sugar Levels,Healthvit,500.0,350.0,https://www.bigbasket.com/media/uploads/p/l/40218879_1-healthvit-clove-470-mg-capsules-regulate-blood-sugar-levels.jpg,60,Beauty & Hygiene,Ayurveda
3181,"Double Strength Hyaluronic Acid 100 mg Capsules - Joint Support, Relieves Joint Pain",Healthvit,750.0,525.0,https://www.bigbasket.com/media/uploads/p/l/40218886_1-healthvit-double-strength-hyaluronic-acid-100-mg-capsules-joint-support-relieves-joint-pain.jpg,60,Beauty & Hygiene,Supplements & Proteins
3182,Echinacea 250 mg Capsules - Immunity Booster,Healthvit,800.0,552.0,https://www.bigbasket.com/media/uploads/p/l/40218887_1-healthvit-echinacea-250-mg-capsules-ilunity-booster.jpg,60,Beauty & Hygiene,Supplements & Proteins
3183,Femycal Calcium With Vitamin D3 Tablets - Pre & Post Menopause,Healthvit,350.0,245.0,https://www.bigbasket.com/media/uploads/p/l/40218889_1-healthvit-femycal-calcium-with-vitamin-d3-tablets-pre-post-menopause.jpg,60,Beauty & Hygiene,Supplements & Proteins
3184,High Potency Bromelain 3000 GDU Capsules - Supportive In Lungs Congestion & Inflammation,Healthvit,800.0,552.0,https://www.bigbasket.com/media/uploads/p/l/40218913_1-healthvit-high-potency-bromelain-3000-gdu-capsules-supportive-in-lungs-congestion-inflalation.jpg,60,Beauty & Hygiene,Supplements & Proteins
3185,L-Isoleucine Increase Energy Levels Capsule - For Blood Sugar Regulation,Healthvit,800.0,560.0,https://www.bigbasket.com/media/uploads/p/l/40218926_1-healthvit-l-isoleucine-increase-energy-levels-capsule-for-blood-sugar-regulation.jpg,60,Beauty & Hygiene,Supplements & Proteins
3186,L-Lysine Tablet - Supports Immune System Functions & Membrane Health,Healthvit,600.0,420.0,https://www.bigbasket.com/media/uploads/p/l/40218928_1-healthvit-l-lysine-tablet-supports-ilune-system-functions-membrane-health.jpg,60,Beauty & Hygiene,Supplements & Proteins
3187,L-Methionine Essential Amino Acid Capsule - Supports Detox Mechanisms,Healthvit,1200.0,840.0,https://www.bigbasket.com/media/uploads/p/l/40218929_1-healthvit-l-methionine-essential-amino-acid-capsule-supports-detox-mechanisms.jpg,60,Beauty & Hygiene,Supplements & Proteins
3188,"Magneed-Z Magnesium 300 mg & Zinc 10 mg Effervescent Tablets - Orange Flavour, For Muscle Health",Healthvit,400.0,260.0,https://www.bigbasket.com/media/uploads/p/l/40218947_1-healthvit-magneed-z-magnesium-300-mg-zinc-10-mg-effervescent-tablets-orange-flavour-for-muscle-health.jpg,20,Beauty & Hygiene,Supplements & Proteins
3189,MSM Methylsulfonylmenthane 1000 mg Tablets - Promotes Joints Elasticity,Healthvit,700.0,490.0,https://www.bigbasket.com/media/uploads/p/l/40218950_1-healthvit-msm-methylsulfonylmenthane-1000-mg-tablets-promotes-joints-elasticity.jpg,60,Beauty & Hygiene,Supplements & Proteins
3190,Peppermint 30 mg Capsules - Healthy Stomach,Healthvit,500.0,350.0,https://www.bigbasket.com/media/uploads/p/l/40218952_1-healthvit-peppermint-30-mg-capsules-healthy-stomach.jpg,60,Beauty & Hygiene,Ayurveda
3191,R-Col Activated Charcoal 250 mg Capsules - Natural Digestion Support,Healthvit,600.0,408.0,https://www.bigbasket.com/media/uploads/p/l/40218964_1-healthvit-r-col-activated-charcoal-250-mg-capsules-natural-digestion-support.jpg,60,Beauty & Hygiene,Supplements & Proteins
3192,R-Col Activated Charcoal 500 mg Tablets - Natural Digestion Support,Healthvit,700.0,483.0,https://www.bigbasket.com/media/uploads/p/l/40218965_1-healthvit-r-col-activated-charcoal-500-mg-tablets-natural-digestion-support.jpg,60,Beauty & Hygiene,Supplements & Proteins
3193,Shankhpushpi Pure Extract 240 mg Capsules - Healthy Blood Circulation,Healthvit,400.0,268.0,https://www.bigbasket.com/media/uploads/p/l/40218974_1-healthvit-shankhpushpi-pure-extract-240-mg-capsules-healthy-blood-circulation.jpg,60,Beauty & Hygiene,Ayurveda
3194,Shigruvit Moringa Pterygosperma 250mg Capsules - For Proper Digestion,Healthvit,155.0,108.5,https://www.bigbasket.com/media/uploads/p/l/40218976_1-healthvit-shigruvit-moringa-pterygosperma-250mg-capsules-for-proper-digestion.jpg,60,Beauty & Hygiene,Ayurveda
3195,Shilajit/Asphaltum Extract Powder 500 mg Capsules - Increase Vigor & Vitality,Healthvit,500.0,340.0,https://www.bigbasket.com/media/uploads/p/l/40218977_1-healthvit-shilajitasphaltum-extract-powder-500-mg-capsules-increase-vigor-vitality.jpg,60,Beauty & Hygiene,Ayurveda
3196,"Silymarin Milk Thistle 400 mg Capsules - Standardized To 60%, For Healthy Liver",Healthvit,800.0,552.0,https://www.bigbasket.com/media/uploads/p/l/40218978_1-healthvit-silymarin-milk-thistle-400-mg-capsules-standardized-to-60-for-healthy-liver.jpg,60,Beauty & Hygiene,Supplements & Proteins
3197,Urineed-CD Cranberry Extract 200 mg + D-Mannose 500 mg Capsules - For Urinary Tract Cleanse & Bladder Health,Healthvit,800.0,552.0,https://www.bigbasket.com/media/uploads/p/l/40218988_1-healthvit-urineed-cd-cranberry-extract-200-mg-d-mannose-500-mg-capsules-for-urinary-tract-cleanse-bladder-health.jpg,60,Beauty & Hygiene,Supplements & Proteins
3198,Choline Hydrogen Tartrate 250 mg + Inositol 250 mg Capsules,Healthvit,600.0,420.0,https://www.bigbasket.com/media/uploads/p/l/40218993_1-healthvit-choline-hydrogen-tartrate-250-mg-inositol-250-mg-capsules.jpg,60,Beauty & Hygiene,Supplements & Proteins
3199,Neemcare Neem Powder 400 mg Capsules - Immunity Enhancer,Healthvit,160.0,112.0,https://www.bigbasket.com/media/uploads/p/l/40218996_1-healthvit-neemcare-neem-powder-400-mg-capsules-ilunity-enhancer.jpg,60,Beauty & Hygiene,Ayurveda
3200,"Natural Collagen Builder -  Plant Based, For Healthy Skin, Hair & Nails,Chocolate",Dr. Morepen,1499.0,899.4,https://www.bigbasket.com/media/uploads/p/l/40224765_1-dr-morepen-natural-collagen-builder-plant-based-for-healthy-skin-hair-nailschocolate.jpg,250,Beauty & Hygiene,Supplements & Proteins
